"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"1960","Union européenne (28 pays)","Total","Total","406.731.754",""
"1961","Union européenne (28 pays)","Total","Total",":",""
"1962","Union européenne (28 pays)","Total","Total",":",""
"1963","Union européenne (28 pays)","Total","Total",":",""
"1964","Union européenne (28 pays)","Total","Total",":",""
"1965","Union européenne (28 pays)","Total","Total","424.721.157",""
"1966","Union européenne (28 pays)","Total","Total",":",""
"1967","Union européenne (28 pays)","Total","Total",":",""
"1968","Union européenne (28 pays)","Total","Total",":",""
"1969","Union européenne (28 pays)","Total","Total",":",""
"1970","Union européenne (28 pays)","Total","Total","439.872.955",""
"1971","Union européenne (28 pays)","Total","Total","441.729.990",""
"1972","Union européenne (28 pays)","Total","Total",":",""
"1973","Union européenne (28 pays)","Total","Total",":",""
"1974","Union européenne (28 pays)","Total","Total",":",""
"1975","Union européenne (28 pays)","Total","Total","451.835.013",""
"1976","Union européenne (28 pays)","Total","Total","454.035.014",""
"1977","Union européenne (28 pays)","Total","Total","455.996.863",""
"1978","Union européenne (28 pays)","Total","Total","457.977.630",""
"1979","Union européenne (28 pays)","Total","Total","459.995.862",""
"1980","Union européenne (28 pays)","Total","Total","461.646.698",""
"1981","Union européenne (28 pays)","Total","Total","463.713.423",""
"1982","Union européenne (28 pays)","Total","Total","465.181.776",""
"1983","Union européenne (28 pays)","Total","Total","466.361.434",""
"1984","Union européenne (28 pays)","Total","Total","467.320.189",""
"1985","Union européenne (28 pays)","Total","Total","468.334.305",""
"1986","Union européenne (28 pays)","Total","Total","469.448.581",""
"1987","Union européenne (28 pays)","Total","Total","470.780.512",""
"1988","Union européenne (28 pays)","Total","Total","472.022.616",""
"1989","Union européenne (28 pays)","Total","Total","473.666.003",""
"1990","Union européenne (28 pays)","Total","Total","475.160.781",""
"1991","Union européenne (28 pays)","Total","Total","476.749.614",""
"1992","Union européenne (28 pays)","Total","Total","477.823.590",""
"1993","Union européenne (28 pays)","Total","Total","479.412.343",""
"1994","Union européenne (28 pays)","Total","Total","480.695.742",""
"1995","Union européenne (28 pays)","Total","Total","481.659.499",""
"1996","Union européenne (28 pays)","Total","Total","482.437.319",""
"1997","Union européenne (28 pays)","Total","Total","483.174.847",""
"1998","Union européenne (28 pays)","Total","Total","485.480.942","b"
"1999","Union européenne (28 pays)","Total","Total","486.182.967",""
"2000","Union européenne (28 pays)","Total","Total","486.958.178",""
"2001","Union européenne (28 pays)","Total","Total","488.150.701","b"
"2002","Union européenne (28 pays)","Total","Total","489.065.254",""
"2003","Union européenne (28 pays)","Total","Total","490.815.046",""
"2004","Union européenne (28 pays)","Total","Total","492.709.300",""
"2005","Union européenne (28 pays)","Total","Total","494.774.599",""
"2006","Union européenne (28 pays)","Total","Total","496.633.373",""
"2007","Union européenne (28 pays)","Total","Total","498.408.547","b"
"2008","Union européenne (28 pays)","Total","Total","500.418.320",""
"2009","Union européenne (28 pays)","Total","Total","502.186.144",""
"2010","Union européenne (28 pays)","Total","Total","503.379.305",""
"2011","Union européenne (28 pays)","Total","Total","504.961.522","b"
"2012","Union européenne (28 pays)","Total","Total","506.098.349","b"
"2013","Union européenne (28 pays)","Total","Total","507.162.571","p"
"1960","Union européenne (27 pays)","Total","Total","402.604.332",""
"1961","Union européenne (27 pays)","Total","Total",":",""
"1962","Union européenne (27 pays)","Total","Total",":",""
"1963","Union européenne (27 pays)","Total","Total",":",""
"1964","Union européenne (27 pays)","Total","Total",":",""
"1965","Union européenne (27 pays)","Total","Total","420.454.977",""
"1966","Union européenne (27 pays)","Total","Total",":",""
"1967","Union européenne (27 pays)","Total","Total",":",""
"1968","Union européenne (27 pays)","Total","Total",":",""
"1969","Union européenne (27 pays)","Total","Total",":",""
"1970","Union européenne (27 pays)","Total","Total","435.469.603",""
"1971","Union européenne (27 pays)","Total","Total","437.308.839",""
"1972","Union européenne (27 pays)","Total","Total",":",""
"1973","Union européenne (27 pays)","Total","Total",":",""
"1974","Union européenne (27 pays)","Total","Total",":",""
"1975","Union européenne (27 pays)","Total","Total","447.334.286",""
"1976","Union européenne (27 pays)","Total","Total","449.511.578",""
"1977","Union européenne (27 pays)","Total","Total","451.448.431",""
"1978","Union européenne (27 pays)","Total","Total","453.406.921",""
"1979","Union européenne (27 pays)","Total","Total","455.404.402",""
"1980","Union européenne (27 pays)","Total","Total","457.048.603",""
"1981","Union européenne (27 pays)","Total","Total","459.111.954",""
"1982","Union européenne (27 pays)","Total","Total","460.560.228",""
"1983","Union européenne (27 pays)","Total","Total","461.714.513",""
"1984","Union européenne (27 pays)","Total","Total","462.650.602",""
"1985","Union européenne (27 pays)","Total","Total","463.643.322",""
"1986","Union européenne (27 pays)","Total","Total","464.736.729",""
"1987","Union européenne (27 pays)","Total","Total","466.049.471",""
"1988","Union européenne (27 pays)","Total","Total","467.274.166",""
"1989","Union européenne (27 pays)","Total","Total","468.904.038",""
"1990","Union européenne (27 pays)","Total","Total","470.388.225",""
"1991","Union européenne (27 pays)","Total","Total","471.967.435",""
"1992","Union européenne (27 pays)","Total","Total","473.227.724",""
"1993","Union européenne (27 pays)","Total","Total","474.856.572",""
"1994","Union européenne (27 pays)","Total","Total","476.050.587",""
"1995","Union européenne (27 pays)","Total","Total","477.000.606",""
"1996","Union européenne (27 pays)","Total","Total","477.856.152",""
"1997","Union européenne (27 pays)","Total","Total","478.641.819",""
"1998","Union européenne (27 pays)","Total","Total","480.944.130","b"
"1999","Union européenne (27 pays)","Total","Total","481.655.508",""
"2000","Union européenne (27 pays)","Total","Total","482.460.443",""
"2001","Union européenne (27 pays)","Total","Total","483.855.295","b"
"2002","Union européenne (27 pays)","Total","Total","484.759.760",""
"2003","Union européenne (27 pays)","Total","Total","486.509.662",""
"2004","Union européenne (27 pays)","Total","Total","488.403.575",""
"2005","Union européenne (27 pays)","Total","Total","490.463.738",""
"2006","Union européenne (27 pays)","Total","Total","492.320.886",""
"2007","Union européenne (27 pays)","Total","Total","494.095.017","b"
"2008","Union européenne (27 pays)","Total","Total","496.106.353",""
"2009","Union européenne (27 pays)","Total","Total","497.876.348",""
"2010","Union européenne (27 pays)","Total","Total","499.076.458",""
"2011","Union européenne (27 pays)","Total","Total","500.671.665","b"
"2012","Union européenne (27 pays)","Total","Total","501.822.365","b"
"2013","Union européenne (27 pays)","Total","Total","502.900.431","p"
"1960","Zone euro (18 pays)","Total","Total","260.384.692",""
"1961","Zone euro (18 pays)","Total","Total",":",""
"1962","Zone euro (18 pays)","Total","Total",":",""
"1963","Zone euro (18 pays)","Total","Total",":",""
"1964","Zone euro (18 pays)","Total","Total",":",""
"1965","Zone euro (18 pays)","Total","Total","272.477.051",""
"1966","Zone euro (18 pays)","Total","Total",":",""
"1967","Zone euro (18 pays)","Total","Total",":",""
"1968","Zone euro (18 pays)","Total","Total",":",""
"1969","Zone euro (18 pays)","Total","Total",":",""
"1970","Zone euro (18 pays)","Total","Total","282.389.935",""
"1971","Zone euro (18 pays)","Total","Total","283.639.011",""
"1972","Zone euro (18 pays)","Total","Total",":",""
"1973","Zone euro (18 pays)","Total","Total",":",""
"1974","Zone euro (18 pays)","Total","Total",":",""
"1975","Zone euro (18 pays)","Total","Total","290.354.380",""
"1976","Zone euro (18 pays)","Total","Total","291.674.647",""
"1977","Zone euro (18 pays)","Total","Total","292.832.041",""
"1978","Zone euro (18 pays)","Total","Total","294.078.111",""
"1979","Zone euro (18 pays)","Total","Total","295.505.455",""
"1980","Zone euro (18 pays)","Total","Total","296.516.734",""
"1981","Zone euro (18 pays)","Total","Total","298.005.310",""
"1982","Zone euro (18 pays)","Total","Total","298.938.748",""
"1983","Zone euro (18 pays)","Total","Total","299.620.134",""
"1984","Zone euro (18 pays)","Total","Total","300.051.558",""
"1985","Zone euro (18 pays)","Total","Total","300.466.031",""
"1986","Zone euro (18 pays)","Total","Total","301.033.722",""
"1987","Zone euro (18 pays)","Total","Total","301.803.291",""
"1988","Zone euro (18 pays)","Total","Total","302.536.073",""
"1989","Zone euro (18 pays)","Total","Total","303.712.660",""
"1990","Zone euro (18 pays)","Total","Total","305.121.066",""
"1991","Zone euro (18 pays)","Total","Total","306.467.706",""
"1992","Zone euro (18 pays)","Total","Total","307.802.664",""
"1993","Zone euro (18 pays)","Total","Total","309.268.570",""
"1994","Zone euro (18 pays)","Total","Total","310.253.003",""
"1995","Zone euro (18 pays)","Total","Total","310.991.774",""
"1996","Zone euro (18 pays)","Total","Total","311.764.998",""
"1997","Zone euro (18 pays)","Total","Total","312.522.351",""
"1998","Zone euro (18 pays)","Total","Total","314.796.667","b"
"1999","Zone euro (18 pays)","Total","Total","315.442.537",""
"2000","Zone euro (18 pays)","Total","Total","316.562.271",""
"2001","Zone euro (18 pays)","Total","Total","317.870.307","b"
"2002","Zone euro (18 pays)","Total","Total","319.445.267",""
"2003","Zone euro (18 pays)","Total","Total","321.225.584",""
"2004","Zone euro (18 pays)","Total","Total","323.012.465",""
"2005","Zone euro (18 pays)","Total","Total","324.890.029",""
"2006","Zone euro (18 pays)","Total","Total","326.502.500",""
"2007","Zone euro (18 pays)","Total","Total","328.062.368",""
"2008","Zone euro (18 pays)","Total","Total","330.005.457",""
"2009","Zone euro (18 pays)","Total","Total","331.382.308",""
"2010","Zone euro (18 pays)","Total","Total","332.188.675",""
"2011","Zone euro (18 pays)","Total","Total","333.049.538","b"
"2012","Zone euro (18 pays)","Total","Total","333.861.013","b"
"2013","Zone euro (18 pays)","Total","Total","334.611.086","p"
"1960","Zone euro (17 pays)","Total","Total","258.280.564",""
"1961","Zone euro (17 pays)","Total","Total",":",""
"1962","Zone euro (17 pays)","Total","Total",":",""
"1963","Zone euro (17 pays)","Total","Total",":",""
"1964","Zone euro (17 pays)","Total","Total",":",""
"1965","Zone euro (17 pays)","Total","Total","270.222.003",""
"1966","Zone euro (17 pays)","Total","Total",":",""
"1967","Zone euro (17 pays)","Total","Total",":",""
"1968","Zone euro (17 pays)","Total","Total",":",""
"1969","Zone euro (17 pays)","Total","Total",":",""
"1970","Zone euro (17 pays)","Total","Total","280.038.032",""
"1971","Zone euro (17 pays)","Total","Total","281.272.587",""
"1972","Zone euro (17 pays)","Total","Total",":",""
"1973","Zone euro (17 pays)","Total","Total",":",""
"1974","Zone euro (17 pays)","Total","Total",":",""
"1975","Zone euro (17 pays)","Total","Total","287.906.650",""
"1976","Zone euro (17 pays)","Total","Total","289.210.118",""
"1977","Zone euro (17 pays)","Total","Total","290.354.592",""
"1978","Zone euro (17 pays)","Total","Total","291.585.414",""
"1979","Zone euro (17 pays)","Total","Total","293.002.310",""
"1980","Zone euro (17 pays)","Total","Total","294.007.973",""
"1981","Zone euro (17 pays)","Total","Total","295.490.670",""
"1982","Zone euro (17 pays)","Total","Total","296.414.546",""
"1983","Zone euro (17 pays)","Total","Total","297.082.176",""
"1984","Zone euro (17 pays)","Total","Total","297.497.495",""
"1985","Zone euro (17 pays)","Total","Total","297.896.001",""
"1986","Zone euro (17 pays)","Total","Total","298.446.006",""
"1987","Zone euro (17 pays)","Total","Total","299.191.223",""
"1988","Zone euro (17 pays)","Total","Total","299.894.976",""
"1989","Zone euro (17 pays)","Total","Total","301.046.890",""
"1990","Zone euro (17 pays)","Total","Total","302.452.926",""
"1991","Zone euro (17 pays)","Total","Total","303.809.545",""
"1992","Zone euro (17 pays)","Total","Total","305.159.664",""
"1993","Zone euro (17 pays)","Total","Total","306.682.895",""
"1994","Zone euro (17 pays)","Total","Total","307.712.099",""
"1995","Zone euro (17 pays)","Total","Total","308.491.194",""
"1996","Zone euro (17 pays)","Total","Total","309.295.467",""
"1997","Zone euro (17 pays)","Total","Total","310.077.439",""
"1998","Zone euro (17 pays)","Total","Total","312.375.878","b"
"1999","Zone euro (17 pays)","Total","Total","313.043.289",""
"2000","Zone euro (17 pays)","Total","Total","314.180.556",""
"2001","Zone euro (17 pays)","Total","Total","315.516.923","b"
"2002","Zone euro (17 pays)","Total","Total","317.124.311",""
"2003","Zone euro (17 pays)","Total","Total","318.926.194",""
"2004","Zone euro (17 pays)","Total","Total","320.735.945",""
"2005","Zone euro (17 pays)","Total","Total","322.640.305",""
"2006","Zone euro (17 pays)","Total","Total","324.274.626",""
"2007","Zone euro (17 pays)","Total","Total","325.853.528",""
"2008","Zone euro (17 pays)","Total","Total","327.813.647",""
"2009","Zone euro (17 pays)","Total","Total","329.219.474",""
"2010","Zone euro (17 pays)","Total","Total","330.068.171",""
"2011","Zone euro (17 pays)","Total","Total","330.974.933","b"
"2012","Zone euro (17 pays)","Total","Total","331.816.200","b"
"2013","Zone euro (17 pays)","Total","Total","332.587.261","p"
"1960","Zone euro (16 pays)","Total","Total","257.074.202",""
"1961","Zone euro (16 pays)","Total","Total",":",""
"1962","Zone euro (16 pays)","Total","Total",":",""
"1963","Zone euro (16 pays)","Total","Total",":",""
"1964","Zone euro (16 pays)","Total","Total",":",""
"1965","Zone euro (16 pays)","Total","Total","268.935.741",""
"1966","Zone euro (16 pays)","Total","Total",":",""
"1967","Zone euro (16 pays)","Total","Total",":",""
"1968","Zone euro (16 pays)","Total","Total",":",""
"1969","Zone euro (16 pays)","Total","Total",":",""
"1970","Zone euro (16 pays)","Total","Total","278.686.392",""
"1971","Zone euro (16 pays)","Total","Total","279.904.076",""
"1972","Zone euro (16 pays)","Total","Total",":",""
"1973","Zone euro (16 pays)","Total","Total",":",""
"1974","Zone euro (16 pays)","Total","Total",":",""
"1975","Zone euro (16 pays)","Total","Total","286.482.577",""
"1976","Zone euro (16 pays)","Total","Total","287.775.488",""
"1977","Zone euro (16 pays)","Total","Total","288.910.070",""
"1978","Zone euro (16 pays)","Total","Total","290.129.514",""
"1979","Zone euro (16 pays)","Total","Total","291.537.834",""
"1980","Zone euro (16 pays)","Total","Total","292.535.783",""
"1981","Zone euro (16 pays)","Total","Total","294.008.423",""
"1982","Zone euro (16 pays)","Total","Total","294.921.461",""
"1983","Zone euro (16 pays)","Total","Total","295.578.433",""
"1984","Zone euro (16 pays)","Total","Total","295.983.748",""
"1985","Zone euro (16 pays)","Total","Total","296.372.515",""
"1986","Zone euro (16 pays)","Total","Total","296.911.930",""
"1987","Zone euro (16 pays)","Total","Total","297.644.919",""
"1988","Zone euro (16 pays)","Total","Total","298.336.839",""
"1989","Zone euro (16 pays)","Total","Total","299.481.228",""
"1990","Zone euro (16 pays)","Total","Total","300.882.327",""
"1991","Zone euro (16 pays)","Total","Total","302.241.796",""
"1992","Zone euro (16 pays)","Total","Total","303.604.786",""
"1993","Zone euro (16 pays)","Total","Total","305.171.592",""
"1994","Zone euro (16 pays)","Total","Total","306.235.147",""
"1995","Zone euro (16 pays)","Total","Total","307.043.119",""
"1996","Zone euro (16 pays)","Total","Total","307.870.275",""
"1997","Zone euro (16 pays)","Total","Total","308.671.443",""
"1998","Zone euro (16 pays)","Total","Total","310.982.804","b"
"1999","Zone euro (16 pays)","Total","Total","311.664.052",""
"2000","Zone euro (16 pays)","Total","Total","312.779.306",""
"2001","Zone euro (16 pays)","Total","Total","314.124.203","b"
"2002","Zone euro (16 pays)","Total","Total","315.740.801",""
"2003","Zone euro (16 pays)","Total","Total","317.551.004",""
"2004","Zone euro (16 pays)","Total","Total","319.369.695",""
"2005","Zone euro (16 pays)","Total","Total","321.281.455",""
"2006","Zone euro (16 pays)","Total","Total","322.923.926",""
"2007","Zone euro (16 pays)","Total","Total","324.510.608",""
"2008","Zone euro (16 pays)","Total","Total","326.475.207",""
"2009","Zone euro (16 pays)","Total","Total","327.883.734",""
"2010","Zone euro (16 pays)","Total","Total","328.734.881",""
"2011","Zone euro (16 pays)","Total","Total","329.645.273","b"
"2012","Zone euro (16 pays)","Total","Total","330.490.983","b"
"2013","Zone euro (16 pays)","Total","Total","331.267.087","p"
"1960","Belgique","Total","Total","9.128.824",""
"1961","Belgique","Total","Total","9.178.154",""
"1962","Belgique","Total","Total","9.189.741",""
"1963","Belgique","Total","Total","9.251.414",""
"1964","Belgique","Total","Total","9.328.126",""
"1965","Belgique","Total","Total","9.428.100",""
"1966","Belgique","Total","Total","9.499.234",""
"1967","Belgique","Total","Total","9.556.380",""
"1968","Belgique","Total","Total","9.605.601",""
"1969","Belgique","Total","Total","9.631.910",""
"1970","Belgique","Total","Total","9.660.154",""
"1971","Belgique","Total","Total","9.650.944",""
"1972","Belgique","Total","Total","9.695.379",""
"1973","Belgique","Total","Total","9.726.850",""
"1974","Belgique","Total","Total","9.756.590",""
"1975","Belgique","Total","Total","9.788.248",""
"1976","Belgique","Total","Total","9.813.152",""
"1977","Belgique","Total","Total","9.823.302",""
"1978","Belgique","Total","Total","9.837.413",""
"1979","Belgique","Total","Total","9.841.654",""
"1980","Belgique","Total","Total","9.855.110",""
"1981","Belgique","Total","Total","9.863.374",""
"1982","Belgique","Total","Total","9.854.589",""
"1983","Belgique","Total","Total","9.858.017",""
"1984","Belgique","Total","Total","9.853.023",""
"1985","Belgique","Total","Total","9.857.721",""
"1986","Belgique","Total","Total","9.858.895",""
"1987","Belgique","Total","Total","9.864.751",""
"1988","Belgique","Total","Total","9.875.716",""
"1989","Belgique","Total","Total","9.927.612",""
"1990","Belgique","Total","Total","9.947.782",""
"1991","Belgique","Total","Total","9.986.975",""
"1992","Belgique","Total","Total","10.021.997",""
"1993","Belgique","Total","Total","10.068.319",""
"1994","Belgique","Total","Total","10.100.631",""
"1995","Belgique","Total","Total","10.130.574",""
"1996","Belgique","Total","Total","10.143.047",""
"1997","Belgique","Total","Total","10.170.226",""
"1998","Belgique","Total","Total","10.192.264",""
"1999","Belgique","Total","Total","10.213.752",""
"2000","Belgique","Total","Total","10.239.085",""
"2001","Belgique","Total","Total","10.263.414",""
"2002","Belgique","Total","Total","10.309.725",""
"2003","Belgique","Total","Total","10.355.844",""
"2004","Belgique","Total","Total","10.396.421",""
"2005","Belgique","Total","Total","10.445.852",""
"2006","Belgique","Total","Total","10.511.382",""
"2007","Belgique","Total","Total","10.584.534",""
"2008","Belgique","Total","Total","10.666.866",""
"2009","Belgique","Total","Total","10.753.080",""
"2010","Belgique","Total","Total","10.839.905",""
"2011","Belgique","Total","Total","11.000.638","b"
"2012","Belgique","Total","Total","11.094.850",""
"2013","Belgique","Total","Total","11.161.642",""
"1960","Bulgarie","Total","Total","7.829.246",""
"1961","Bulgarie","Total","Total","7.905.502",""
"1962","Bulgarie","Total","Total","7.980.734",""
"1963","Bulgarie","Total","Total","8.045.158",""
"1964","Bulgarie","Total","Total","8.111.132",""
"1965","Bulgarie","Total","Total","8.177.547",""
"1966","Bulgarie","Total","Total","8.230.788",""
"1967","Bulgarie","Total","Total","8.285.325",""
"1968","Bulgarie","Total","Total","8.335.126",""
"1969","Bulgarie","Total","Total","8.404.080",""
"1970","Bulgarie","Total","Total","8.464.264",""
"1971","Bulgarie","Total","Total","8.514.883",""
"1972","Bulgarie","Total","Total","8.557.906",""
"1973","Bulgarie","Total","Total","8.594.493",""
"1974","Bulgarie","Total","Total","8.647.440",""
"1975","Bulgarie","Total","Total","8.710.049",""
"1976","Bulgarie","Total","Total","8.731.434",""
"1977","Bulgarie","Total","Total","8.785.763",""
"1978","Bulgarie","Total","Total","8.822.602",""
"1979","Bulgarie","Total","Total","8.805.462",""
"1980","Bulgarie","Total","Total","8.846.417",""
"1981","Bulgarie","Total","Total","8.876.652",""
"1982","Bulgarie","Total","Total","8.905.581",""
"1983","Bulgarie","Total","Total","8.929.332",""
"1984","Bulgarie","Total","Total","8.950.144",""
"1985","Bulgarie","Total","Total","8.971.214",""
"1986","Bulgarie","Total","Total","8.949.880",""
"1987","Bulgarie","Total","Total","8.966.462",""
"1988","Bulgarie","Total","Total","8.976.255",""
"1989","Bulgarie","Total","Total","8.986.636",""
"1990","Bulgarie","Total","Total","8.767.308",""
"1991","Bulgarie","Total","Total","8.669.269",""
"1992","Bulgarie","Total","Total","8.595.465",""
"1993","Bulgarie","Total","Total","8.484.863",""
"1994","Bulgarie","Total","Total","8.459.763",""
"1995","Bulgarie","Total","Total","8.427.418",""
"1996","Bulgarie","Total","Total","8.384.715",""
"1997","Bulgarie","Total","Total","8.340.936",""
"1998","Bulgarie","Total","Total","8.283.200",""
"1999","Bulgarie","Total","Total","8.230.371",""
"2000","Bulgarie","Total","Total","8.190.876",""
"2001","Bulgarie","Total","Total","8.149.468",""
"2002","Bulgarie","Total","Total","7.891.095",""
"2003","Bulgarie","Total","Total","7.845.841",""
"2004","Bulgarie","Total","Total","7.801.273",""
"2005","Bulgarie","Total","Total","7.761.049",""
"2006","Bulgarie","Total","Total","7.718.750",""
"2007","Bulgarie","Total","Total","7.572.673","b"
"2008","Bulgarie","Total","Total","7.518.002",""
"2009","Bulgarie","Total","Total","7.467.119",""
"2010","Bulgarie","Total","Total","7.421.766",""
"2011","Bulgarie","Total","Total","7.369.431",""
"2012","Bulgarie","Total","Total","7.327.224",""
"2013","Bulgarie","Total","Total","7.284.552",""
"1960","République tchèque","Total","Total","9.637.840",""
"1961","République tchèque","Total","Total","9.566.172",""
"1962","République tchèque","Total","Total","9.607.129",""
"1963","République tchèque","Total","Total","9.642.191",""
"1964","République tchèque","Total","Total","9.699.179",""
"1965","République tchèque","Total","Total","9.756.429",""
"1966","République tchèque","Total","Total","9.802.287",""
"1967","République tchèque","Total","Total","9.839.792",""
"1968","République tchèque","Total","Total","9.866.006",""
"1969","République tchèque","Total","Total","9.886.686",""
"1970","République tchèque","Total","Total","9.906.474",""
"1971","République tchèque","Total","Total","9.809.667",""
"1972","République tchèque","Total","Total","9.843.962",""
"1973","République tchèque","Total","Total","9.891.302",""
"1974","République tchèque","Total","Total","9.953.230",""
"1975","République tchèque","Total","Total","10.023.688",""
"1976","République tchèque","Total","Total","10.093.551",""
"1977","République tchèque","Total","Total","10.158.327",""
"1978","République tchèque","Total","Total","10.215.183",""
"1979","République tchèque","Total","Total","10.269.012",""
"1980","République tchèque","Total","Total","10.315.669",""
"1981","République tchèque","Total","Total","10.292.717",""
"1982","République tchèque","Total","Total","10.308.465",""
"1983","République tchèque","Total","Total","10.321.186",""
"1984","République tchèque","Total","Total","10.326.526",""
"1985","République tchèque","Total","Total","10.333.900",""
"1986","République tchèque","Total","Total","10.340.335",""
"1987","République tchèque","Total","Total","10.344.119",""
"1988","République tchèque","Total","Total","10.350.517",""
"1989","République tchèque","Total","Total","10.360.034",""
"1990","République tchèque","Total","Total","10.362.102",""
"1991","République tchèque","Total","Total","10.304.607",""
"1992","République tchèque","Total","Total","10.312.548",""
"1993","République tchèque","Total","Total","10.325.697",""
"1994","République tchèque","Total","Total","10.334.013",""
"1995","République tchèque","Total","Total","10.333.161",""
"1996","République tchèque","Total","Total","10.321.344",""
"1997","République tchèque","Total","Total","10.309.137",""
"1998","République tchèque","Total","Total","10.299.125",""
"1999","République tchèque","Total","Total","10.289.621",""
"2000","République tchèque","Total","Total","10.278.098",""
"2001","République tchèque","Total","Total","10.232.027",""
"2002","République tchèque","Total","Total","10.201.182",""
"2003","République tchèque","Total","Total","10.192.649",""
"2004","République tchèque","Total","Total","10.195.347",""
"2005","République tchèque","Total","Total","10.198.855",""
"2006","République tchèque","Total","Total","10.223.577",""
"2007","République tchèque","Total","Total","10.254.233",""
"2008","République tchèque","Total","Total","10.343.422",""
"2009","République tchèque","Total","Total","10.425.783",""
"2010","République tchèque","Total","Total","10.462.088",""
"2011","République tchèque","Total","Total","10.486.731",""
"2012","République tchèque","Total","Total","10.505.445",""
"2013","République tchèque","Total","Total","10.516.125",""
"1960","Danemark","Total","Total","4.565.455",""
"1961","Danemark","Total","Total","4.593.750",""
"1962","Danemark","Total","Total","4.629.624",""
"1963","Danemark","Total","Total","4.665.829",""
"1964","Danemark","Total","Total","4.703.136",""
"1965","Danemark","Total","Total","4.741.008",""
"1966","Danemark","Total","Total","4.777.015",""
"1967","Danemark","Total","Total","4.817.746",""
"1968","Danemark","Total","Total","4.852.962",""
"1969","Danemark","Total","Total","4.876.803",""
"1970","Danemark","Total","Total","4.906.916",""
"1971","Danemark","Total","Total","4.950.598",""
"1972","Danemark","Total","Total","4.975.653",""
"1973","Danemark","Total","Total","5.007.538",""
"1974","Danemark","Total","Total","5.036.184",""
"1975","Danemark","Total","Total","5.054.410",""
"1976","Danemark","Total","Total","5.065.313",""
"1977","Danemark","Total","Total","5.079.879",""
"1978","Danemark","Total","Total","5.096.959",""
"1979","Danemark","Total","Total","5.111.537",""
"1980","Danemark","Total","Total","5.122.065",""
"1981","Danemark","Total","Total","5.123.989",""
"1982","Danemark","Total","Total","5.119.155",""
"1983","Danemark","Total","Total","5.116.464",""
"1984","Danemark","Total","Total","5.112.130",""
"1985","Danemark","Total","Total","5.111.108",""
"1986","Danemark","Total","Total","5.116.273",""
"1987","Danemark","Total","Total","5.124.794",""
"1988","Danemark","Total","Total","5.129.254",""
"1989","Danemark","Total","Total","5.129.778",""
"1990","Danemark","Total","Total","5.135.409",""
"1991","Danemark","Total","Total","5.146.469",""
"1992","Danemark","Total","Total","5.162.126",""
"1993","Danemark","Total","Total","5.180.614",""
"1994","Danemark","Total","Total","5.196.642",""
"1995","Danemark","Total","Total","5.215.718",""
"1996","Danemark","Total","Total","5.251.027",""
"1997","Danemark","Total","Total","5.275.121",""
"1998","Danemark","Total","Total","5.294.860",""
"1999","Danemark","Total","Total","5.313.577",""
"2000","Danemark","Total","Total","5.330.020",""
"2001","Danemark","Total","Total","5.349.212",""
"2002","Danemark","Total","Total","5.368.354",""
"2003","Danemark","Total","Total","5.383.507",""
"2004","Danemark","Total","Total","5.397.640",""
"2005","Danemark","Total","Total","5.411.405",""
"2006","Danemark","Total","Total","5.427.459",""
"2007","Danemark","Total","Total","5.447.084",""
"2008","Danemark","Total","Total","5.475.791",""
"2009","Danemark","Total","Total","5.511.451",""
"2010","Danemark","Total","Total","5.534.738",""
"2011","Danemark","Total","Total","5.560.628",""
"2012","Danemark","Total","Total","5.580.516",""
"2013","Danemark","Total","Total","5.602.628",""
"1960","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","55.257.088",""
"1961","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","55.958.321",""
"1962","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","56.589.148",""
"1963","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","57.247.246",""
"1964","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","57.864.509",""
"1965","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","58.587.451",""
"1966","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","59.296.591",""
"1967","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","59.792.934",""
"1968","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","59.948.474",""
"1969","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","60.463.033",""
"1970","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","61.194.591",""
"1971","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","61.001.164",""
"1972","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","61.502.503",""
"1973","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","61.809.358",""
"1974","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","62.101.379",""
"1975","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","61.991.475",""
"1976","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","61.644.624",""
"1977","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","61.441.996",""
"1978","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","61.352.745",""
